Loan ID,Loan Status
-0.21819330607023113,Charged Off
-0.5595571604949351,Charged Off
-1.3184318853181372,Charged Off
-1.0918483436022768,Charged Off
1.1722218079519844,Fully Paid
-1.103169054209483,Charged Off
1.461011162582314,Fully Paid
-0.3516561025959658,Charged Off
-2.0445285324130267,Charged Off
1.0177238176073895,Charged Off
1.0350479470172436,Charged Off
-0.748958641857618,Charged Off
1.995117607879246,Charged Off
0.43439526829538233,Charged Off
-1.2693367986959796,Charged Off
0.5128995745254206,Fully Paid
-1.4066791209501472,Charged Off
1.6000501158796205,Charged Off
-0.7592232675193104,Charged Off
1.0815325773954427,Fully Paid
0.18913262944254883,Charged Off
0.8593036541476704,Charged Off
-1.0494456681124869,Charged Off
0.6152097008733457,Fully Paid
1.1347389573455708,Charged Off
1.2616320558065013,Fully Paid
-1.0331604176280262,Charged Off
1.6710966341506845,Fully Paid
-0.5428782505114789,Charged Off
1.0500075873683852,Fully Paid
-1.036614389253056,Charged Off
-1.824928015724107,Charged Off
2.056205792360024,Fully Paid
-1.8495569196665609,Charged Off
-2.008118499272784,Charged Off
0.8309834901993628,Fully Paid
0.5419373697749417,Fully Paid
-0.7143459403107346,Charged Off
0.4754426961731171,Charged Off
0.24339775864440072,Charged Off
1.0861358846362585,Charged Off
0.4052615833032942,Charged Off
1.0913753832533137,Fully Paid
1.448201881208202,Fully Paid
0.17699320747754332,Charged Off
-1.1474432043992697,Charged Off
-2.2370968542898697,Charged Off
-1.5601907532983437,Charged Off
0.935544395221865,Charged Off
-0.8506533907687635,Charged Off
-0.2731200683952748,Charged Off
-0.09636069365384325,Charged Off
0.8794384286080715,Fully Paid
1.833712889394627,Fully Paid
-4.0734355363955075,Charged Off
0.69573506521305,Fully Paid
-0.32195468731268273,Charged Off
-1.4629330590472187,Charged Off
-0.7987708975315706,Charged Off
-0.5484906472048192,Charged Off
-1.0610029515341064,Charged Off
-1.3792055822310703,Charged Off
0.47642871142980936,Fully Paid
1.112388098882026,Charged Off
0.9968502091933572,Fully Paid
1.4231268654925144,Fully Paid
